,id,country,date,individuals,centroid_lon,centroid_lat,lat_max,lon_max,lan_min,lon_min,source
101,Republic of Moldova_2022-06-28,Republic of Moldova,2022-06-28,515432,28.4646,47.1976,49.019638429728,31.685303125,45.044273452589,25.068115625,"UNHCR, Government"
102,Belarus_2022-06-28,Belarus,2022-06-28,16662,28.0463,53.5384,57.838933546403,33.727940625,48.496893952144,21.0463,"UNHCR, Government"
103,Poland_2022-06-21,Poland,2022-06-21,4146144,19.4013,52.1224,55.469505777204,26.4013,48.02154911827,12.4013,"UNHCR, Government"
104,Russian Federation_2022-06-21,Russian Federation,2022-06-21,1305018,38.1556078125,51.488850139616,55.991456445157,40.355733035714,51.727742159442,34.812904464286,"UNHCR, Government"
105,Hungary_2022-06-21,Hungary,2022-06-21,814607,19.4131,47.1672,54.1672,26.58888125,43.760060981758,12.4131,"UNHCR, Government"
106,Romania_2022-06-21,Romania,2022-06-21,691413,25.3,45.8667,52.8667,32.3,38.8667,18.3,"UNHCR, Government"
107,Slovakia_2022-06-21,Slovakia,2022-06-21,525620,19.4864,48.7062,55.7062,26.4864,41.7062,12.4864,"UNHCR, Government"
108,Republic of Moldova_2022-06-21,Republic of Moldova,2022-06-21,507552,28.4646,47.1976,49.019638429728,31.685303125,45.044273452589,25.068115625,"UNHCR, Government"
109,Belarus_2022-06-20,Belarus,2022-06-20,16660,28.0463,53.5384,57.838933546403,33.727940625,48.496893952144,21.0463,"UNHCR, Government"
110,Poland_2022-06-15,Poland,2022-06-15,4001921,19.4013,52.1224,55.469505777204,26.4013,48.02154911827,12.4013,"UNHCR, Government"
111,Russian Federation_2022-06-16,Russian Federation,2022-06-16,1230800,38.1556078125,51.488850139616,55.991456445157,40.355733035714,51.727742159442,34.812904464286,"UNHCR, Government"
112,Hungary_2022-06-16,Hungary,2022-06-16,782742,19.4131,47.1672,54.1672,26.58888125,43.760060981758,12.4131,"UNHCR, Government"
113,Romania_2022-06-16,Romania,2022-06-16,659009,25.3,45.8667,52.8667,32.3,38.8667,18.3,"UNHCR, Government"
114,Slovakia_2022-06-16,Slovakia,2022-06-16,510014,19.4864,48.7062,55.7062,26.4864,41.7062,12.4864,"UNHCR, Government"
115,Republic of Moldova_2022-06-16,Republic of Moldova,2022-06-16,502716,28.4646,47.1976,49.019638429728,31.685303125,45.044273452589,25.068115625,"UNHCR, Government"
116,Belarus_2022-06-15,Belarus,2022-06-15,16655,28.0463,53.5384,57.838933546403,33.727940625,48.496893952144,21.0463,"UNHCR, Government"
117,Russian Federation_2022-06-13,Russian Federation,2022-06-13,1188807,38.1556078125,51.488850139616,55.991456445157,40.355733035714,51.727742159442,34.812904464286,"UNHCR, Government"
118,Belarus_2022-06-14,Belarus,2022-06-14,16654,28.0463,53.5384,57.838933546403,33.727940625,48.496893952144,21.0463,"UNHCR, Government"
119,Poland_2022-06-13,Poland,2022-06-13,3954957,19.4013,52.1224,55.469505777204,26.4013,48.02154911827,12.4013,"UNHCR, Government"
120,Hungary_2022-06-13,Hungary,2022-06-13,764216,19.4131,47.1672,54.1672,26.58888125,43.760060981758,12.4131,"UNHCR, Government"
121,Romania_2022-06-13,Romania,2022-06-13,642159,25.3,45.8667,52.8667,32.3,38.8667,18.3,"UNHCR, Government"
122,Slovakia_2022-06-13,Slovakia,2022-06-13,501335,19.4864,48.7062,55.7062,26.4864,41.7062,12.4864,"UNHCR, Government"
123,Republic of Moldova_2022-06-13,Republic of Moldova,2022-06-13,498896,28.4646,47.1976,49.019638429728,31.685303125,45.044273452589,25.068115625,"UNHCR, Government"
124,Belarus_2022-06-13,Belarus,2022-06-13,16654,28.0463,53.5384,57.838933546403,33.727940625,48.496893952144,21.0463,"UNHCR, Government"
125,Poland_2022-06-09,Poland,2022-06-09,3864723,19.4013,52.1224,55.469505777204,26.4013,48.02154911827,12.4013,"UNHCR, Government"
126,Russian Federation_2022-06-09,Russian Federation,2022-06-09,1136243,38.1556078125,51.488850139616,55.991456445157,40.355733035714,51.727742159442,34.812904464286,"UNHCR, Government"
127,Hungary_2022-06-09,Hungary,2022-06-09,741504,19.4131,47.1672,54.1672,26.58888125,43.760060981758,12.4131,"UNHCR, Government"
128,Romania_2022-06-09,Romania,2022-06-09,622929,25.3,45.8667,52.8667,32.3,38.8667,18.3,"UNHCR, Government"
129,Republic of Moldova_2022-06-09,Republic of Moldova,2022-06-09,494421,28.4646,47.1976,49.019638429728,31.685303125,45.044273452589,25.068115625,"UNHCR, Government"
130,Slovakia_2022-06-08,Slovakia,2022-06-08,487153,19.4864,48.7062,55.7062,26.4864,41.7062,12.4864,"UNHCR, Government"
131,Belarus_2022-06-08,Belarus,2022-06-08,16650,28.0463,53.5384,57.838933546403,33.727940625,48.496893952144,21.0463,"UNHCR, Government"
132,Poland_2022-06-07,Poland,2022-06-07,3817564,19.4013,52.1224,55.469505777204,26.4013,48.02154911827,12.4013,"UNHCR, Government"
133,Russian Federation_2022-06-07,Russian Federation,2022-06-07,1116387,38.1556078125,51.488850139616,55.991456445157,40.355733035714,51.727742159442,34.812904464286,"UNHCR, Government"
134,Hungary_2022-06-07,Hungary,2022-06-07,731098,19.4131,47.1672,54.1672,26.58888125,43.760060981758,12.4131,"UNHCR, Government"
135,Romania_2022-06-07,Romania,2022-06-07,613435,25.3,45.8667,52.8667,32.3,38.8667,18.3,"UNHCR, Government"
136,Republic of Moldova_2022-06-07,Republic of Moldova,2022-06-07,491144,28.4646,47.1976,49.019638429728,31.685303125,45.044273452589,25.068115625,"UNHCR, Government"
137,Slovakia_2022-06-07,Slovakia,2022-06-07,484661,19.4864,48.7062,55.7062,26.4864,41.7062,12.4864,"UNHCR, Government"
138,Belarus_2022-06-07,Belarus,2022-06-07,16650,28.0463,53.5384,57.838933546403,33.727940625,48.496893952144,21.0463,"UNHCR, Government"
139,Poland_2022-06-01,Poland,2022-06-01,3690089,19.4013,52.1224,55.469505777204,26.4013,48.02154911827,12.4013,"UNHCR, Government"
140,Russian Federation_2022-06-01,Russian Federation,2022-06-01,1041095,38.1556078125,51.488850139616,55.991456445157,40.355733035714,51.727742159442,34.812904464286,"UNHCR, Government"
141,Hungary_2022-06-01,Hungary,2022-06-01,698420,19.4131,47.1672,54.1672,26.58888125,43.760060981758,12.4131,"UNHCR, Government"
142,Romania_2022-06-01,Romania,2022-06-01,587219,25.3,45.8667,52.8667,32.3,38.8667,18.3,"UNHCR, Government"
143,Republic of Moldova_2022-06-01,Republic of Moldova,2022-06-01,483306,28.4646,47.1976,49.019638429728,31.685303125,45.044273452589,25.068115625,"UNHCR, Government"
144,Slovakia_2022-05-31,Slovakia,2022-05-31,466264,19.4864,48.7062,55.7062,26.4864,41.7062,12.4864,"UNHCR, Government"
145,Belarus_2022-06-01,Belarus,2022-06-01,16648,28.0463,53.5384,57.838933546403,33.727940625,48.496893952144,21.0463,"UNHCR, Government"
146,Poland_2022-05-29,Poland,2022-05-29,3627178,19.4013,52.1224,55.469505777204,26.4013,48.02154911827,12.4013,0
147,Hungary_2022-05-29,Hungary,2022-05-29,682594,19.4131,47.1672,54.1672,26.58888125,43.760060981758,12.4131,0
148,Republic of Moldova_2022-05-29,Republic of Moldova,2022-05-29,479513,28.4646,47.1976,49.019638429728,31.685303125,45.044273452589,25.068115625,0
149,Slovakia_2022-05-29,Slovakia,2022-05-29,461164,19.4864,48.7062,55.7062,26.4864,41.7062,12.4864,0
150,Belarus_2022-05-29,Belarus,2022-05-29,16552,28.0463,53.5384,57.838933546403,33.727940625,48.496893952144,21.0463,0
151,Poland_2022-05-27,Poland,2022-05-27,3581612,19.4013,52.1224,55.469505777204,26.4013,48.02154911827,12.4013,0
152,Hungary_2022-05-27,Hungary,2022-05-27,671463,19.4131,47.1672,54.1672,26.58888125,43.760060981758,12.4131,0
153,Romania_2022-05-27,Romania,2022-05-27,563569,25.3,45.8667,52.8667,32.3,38.8667,18.3,0
154,Republic of Moldova_2022-05-27,Republic of Moldova,2022-05-27,477637,28.4646,47.1976,49.019638429728,31.685303125,45.044273452589,25.068115625,0
155,Slovakia_2022-05-27,Slovakia,2022-05-27,454961,19.4864,48.7062,55.7062,26.4864,41.7062,12.4864,0
156,Poland_2022-05-26,Poland,2022-05-26,3559394,19.4013,52.1224,55.469505777204,26.4013,48.02154911827,12.4013,0
157,Russian Federation_2022-05-26,Russian Federation,2022-05-26,971417,38.1556078125,51.488850139616,59.067055102908,36.958297741264,54.998769388622,31.669526312692,0
158,Hungary_2022-05-26,Hungary,2022-05-26,665533,19.4131,47.1672,54.1672,26.58888125,43.760060981758,12.4131,0
159,Romania_2022-05-26,Romania,2022-05-26,559378,25.3,45.8667,52.8667,32.3,38.8667,18.3,0
